context,answer,question
"Carnival has been celebrated for centuries. The tradition was likely established under Venetian rule around the 16th century. It may have been influenced by Greek traditions, such as festivities for deities such as Dionysus. The celebration originally involved dressing in costumes and holding masked balls or visiting friends. In the twentieth century it became an organized event held during the 10 days preceding Lent (according to the Greek Orthodox calendar). The festival is celebrated almost exclusively in the city of Limassol.",twentieth,In what century did the Carnival become an organized event?
"In addition, like most Slavic languages, the Shtokavian verb also has one of two aspects: perfective or imperfective. Most verbs come in pairs, with the perfective verb being created out of the imperfective by adding a prefix or making a stem change. The imperfective aspect typically indicates that the action is unfinished, in progress, or repetitive; while the perfective aspect typically denotes that the action was completed, instantaneous, or of limited duration. Some Štokavian tenses (namely, aorist and imperfect) favor a particular aspect (but they are rarer or absent in Čakavian and Kajkavian). Actually, aspects ""compensate"" for the relative lack of tenses, because aspect of the verb determines whether the act is completed or in progress in the referred time.",perfective or imperfective,Which two states do Shtokavian verbs have?
"Breakthrough pain is transitory acute pain that comes on suddenly and is not alleviated by the patient's normal pain management. It is common in cancer patients who often have background pain that is generally well-controlled by medications, but who also sometimes experience bouts of severe pain that from time to time ""breaks through"" the medication. The characteristics of breakthrough cancer pain vary from person to person and according to the cause. Management of breakthrough pain can entail intensive use of opioids, including fentanyl.",Management,What activity in relation to breakthrough pain requires heavy use of opiods?
"Charles ""Wag"" Bennett, one of the judges at the 1966 competition, was impressed with Schwarzenegger and he offered to coach him. As Schwarzenegger had little money, Bennett invited him to stay in his crowded family home above one of his two gyms in Forest Gate, London, England. Yorton's leg definition had been judged superior, and Schwarzenegger, under a training program devised by Bennett, concentrated on improving the muscle definition and power in his legs. Staying in the East End of London helped Schwarzenegger improve his rudimentary grasp of the English language. Also in 1966, Schwarzenegger had the opportunity to meet childhood idol Reg Park, who became his friend and mentor. The training paid off and, in 1967, Schwarzenegger won the title for the first time, becoming the youngest ever Mr. Universe at the age of 20. He would go on to win the title a further three times. Schwarzenegger then flew back to Munich, training for four to six hours daily, attending business school and working in a health club (Rolf Putziger's gym where he worked and trained from 1966–1968), returning in 1968 to London to win his next Mr. Universe title. He frequently told Roger C. Field, his English coach and friend in Munich at that time, ""I'm going to become the greatest actor!""",Rolf Putziger,Who owned the gym Schwarzenegger worked in during the late sixties?
"From the 9th century, the Pecheneg nomads began an uneasy relationship with Kievan Rus′. For over two centuries they launched sporadic raids into the lands of Rus′, which sometimes escalated into full-scale wars (such as the 920 war on the Pechenegs by Igor of Kiev reported in the Primary Chronicle), but there were also temporary military alliances (e.g. the 943 Byzantine campaign by Igor). In 968, the Pechenegs attacked and besieged the city of Kiev. Some speculation exists that the Pechenegs drove off the Tivertsi and the Ulichs to the regions of the upper Dniester river in Bukovina. The Byzantine Empire was known to support the Pechenegs in their military campaigns against the Eastern Slavic states.[citation needed]",968,What year did the Pechenges attack the city of Kiev?
"According to the 2009 American Community Survey, White Americans of both Hispanic and non-Hispanic origin represented over one-fifth (22.9%) of the Bronx's population. However, non-Hispanic whites formed under one-eighth (12.1%) of the population, down from 34.4% in 1980. Out of all five boroughs, the Bronx has the lowest number and percentage of white residents. 320,640 whites called the Bronx home, of which 168,570 were non-Hispanic whites. The majority of the non-Hispanic European American population is of Italian and Irish descent. People of Italian descent numbered over 55,000 individuals and made up 3.9% of the population. People of Irish descent numbered over 43,500 individuals and made up 3.1% of the population. German Americans and Polish Americans made up 1.4% and 0.8% of the population respectively.","320,640",How many white people live in the Bronx?
"Situated between two large linguistic blocks (Ibero-Romance and Gallo-Romance), Catalan has many unique lexical choices, such as enyorar ""to miss somebody"", apaivagar ""to calm down somebody"", or rebutjar ""reject"".",lexical,What type of unique choices does Catalan have?
"The Kingdom of Prussia became the leading state of the German Empire after its creation in 1871. However, the Treaty of Versailles following World War I granted West Prussia to Poland and made East Prussia an exclave of Weimar Germany (the new Polish Corridor separating East Prussia from the rest of Germany), while the Memel Territory was detached and was annexed by Lithuania in 1923. Following Nazi Germany's defeat in World War II in 1945, war-torn East Prussia was divided at Joseph Stalin's insistence between the Soviet Union (the Kaliningrad Oblast in the Russian SFSR and the constituent counties of the Klaipėda Region in the Lithuanian SSR) and the People's Republic of Poland (the Warmian-Masurian Voivodeship). The capital city Königsberg was renamed Kaliningrad in 1946. The German population of the province was largely evacuated during the war or expelled shortly thereafter in the expulsion of Germans after World War II. An estimated 300,000 (around one fifth of the population) died either in war time bombings raids or in the battles to defend the province.[citation needed]",Versailles,What well known treaty would eventually would grant West Prussia to Poland?
"In the year 712, Muhammad bin Qasim, an Umayyad general, sailed from the Persian Gulf into Sindh in Pakistan and conquered both the Sindh and the Punjab regions along the Indus river. The conquest of Sindh and Punjab, in modern-day Pakistan, although costly, were major gains for the Umayyad Caliphate. However, further gains were halted by Hindu kingdoms in India in the battle of Rajasthan. The Arabs tried to invade India but they were defeated by the north Indian king Nagabhata of the Pratihara Dynasty and by the south Indian Emperor Vikramaditya II of the Chalukya dynasty in the early 8th century. After this the Arab chroniclers admit that the Caliph Mahdi ""gave up the project of conquering any part of India.""",Sindh,"Along with the Punjab, what did Muhammad bin Wasim conquer?"
"San Diego and its backcountry are subject to periodic wildfires. In October 2003, San Diego was the site of the Cedar Fire, which has been called the largest wildfire in California over the past century. The fire burned 280,000 acres (1,100 km2), killed 15 people, and destroyed more than 2,200 homes. In addition to damage caused by the fire, smoke resulted in a significant increase in emergency room visits due to asthma, respiratory problems, eye irritation, and smoke inhalation; the poor air quality caused San Diego County schools to close for a week. Wildfires four years later destroyed some areas, particularly within the communities of Rancho Bernardo, Rancho Santa Fe, and Ramona.","280,000 acres (1,100 km2)",How many acres were burned in the historic Cedar Fire of 2003?
